cache_mb,capacity_gb,category,form_factor,interface,lighting,manufacturer,name,opendb_id,part_id,release_year,series,storage_type,variant
,1000,hdd,"3.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Caviar Black 1TB HDD 3.5"" 7200RPM SATA",1d1e96c7-9032-4aa7-be50-7a980a8b6656,hdd_0113,,Caviar,HDD,1000GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate Technology,"Seagate Barracuda Compute 3 TB 3.5"" 5400 RPM Internal Hard Drive",1d9e0a9a-f78c-46e1-9299-aba2f9c6513a,hdd_0114,2017,BarraCuda Compute,HDD,3 TB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Barracuda Pro 14TB Internal Hard Drive Performance HDD – 3.5 Inch SATA 6 Gb/s 7200 RPM 256MB Cache for Computer Desktop PC, Data Recovery (ST14000DM001)",1de12b28-0495-49ff-92af-d362f6f1bf01,hdd_0115,2018,BarraCuda Pro,HDD,14TB
,300,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital VelociRaptor 300GB HDD 10000RPM 3.5"" SATA",1e25a2de-067b-4fa9-9198-3fb40b98583d,hdd_0116,,VelociRaptor,HDD,300GB
,500,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 500GB HDD 2.5"" 5400 RPM SATA 6.0 Gb/s Internal",1e2fe0a1-31bf-4192-8241-60311c7e8f52,hdd_0117,,BarraCuda,HDD,500GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red 12 TB HDD 5400 RPM 3.5"" SATA",1e78ff13-4b0b-4a7a-b82e-4bc0eff5a934,hdd_0118,,Red,HDD,12000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos 7E10 512n 4TB HDD 3.5"" 7200RPM SATA",1e8bcaae-8338-45fc-9a2b-9b8e05ec1532,hdd_0119,,Exos,HDD,4000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba N300 8TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s Internal",1f429c7d-e445-4808-a594-062c416a57d2,hdd_0120,,N300,HDD,8000GB
,500,hdd,"3.5""",PATA 100,,Western Digital,"Western Digital Caviar Blue 500 GB HDD 3.5"" 7200 RPM PATA 100",1f835eab-fe26-4ce8-a6e5-03e8d773763a,hdd_0121,,Caviar,HDD,500GB
,750,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Barracuda ES 750GB HDD 3.5"" 7200RPM SATA 6.0 Gb/s",1ff12677-134f-4d9f-a8de-b64e5c5b35a6,hdd_0122,,Barracuda,HDD,750GB
,750,hdd,"2.5""",SATA 3.0 Gb/s,,Toshiba,"Toshiba MK7559GSXP 750GB HDD 5400RPM 2.5"" SATA 3.0 Gb/s Internal",1ff553d1-9534-446a-ad24-5063beca8cd9,hdd_0123,,MK7559GSXP,HDD,750GB
,500,hdd,"3.5""",SATA 3.0 Gb/s,,Seagate,"Seagate BarraCuda 500GB 3.5"" HDD 7200RPM SATA",200b98ee-7d92-48ec-a1bd-1b952f94020b,hdd_0124,,BarraCuda,HDD,500GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG07ACA12TA 12TB HDD 3.5"" 7200 RPM SATA Internal",2063a1bb-ed08-4d35-b2ec-c8251bf732d7,hdd_0125,,MG07ACA12TA,HDD,12000GB
,5000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba X300 5TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",2065188b-6156-4ae2-ba00-d60871737d0b,hdd_0126,,X300,HDD,5000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate EXOS Enterprise 2TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",208d89a5-0c1b-4359-9d12-f97ddbdee715,hdd_0127,,EXOS,HDD,2000GB
,18000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Purple 18TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s Internal",20e86732-0e22-48d6-a6a9-46d3ed2dc146,hdd_0128,,Purple,HDD,18000GB
,18000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Gold 18TB HDD 3.5"" 7200RPM SATA",214dc60a-aadb-46e7-8ea7-b9265c97cc15,hdd_0129,,Gold,HDD,18000GB
,2000,hdd,"3.5""",SAS 6.0 Gb/s,,IBM,"IBM 90Y8572 2TB HDD 7200RPM 3.5"" SAS 6.0 Gb/s",21a00f0f-42f7-4452-a011-df36b3723b9a,hdd_0130,,90Y8572,HDD,2000GB
,500,hdd,"3.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital AV-GP 500GB 3.5"" HDD 5400RPM SATA",21e6baa7-60ae-41d1-89ee-0ded8a061112,hdd_0131,,AV-GP,HDD,500GB
,1000,hdd,"3.5""",SATA 3.0 Gb/s,,Seagate,"Seagate Barracuda ES 1TB HDD 3.5"" SATA",238f651b-cbf2-4d9b-8e38-4ffbe2746284,hdd_0132,,Barracuda,HDD,1000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba X300 8TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s Internal",239f7ec9-ec09-411b-8d7d-5b15c782be4f,hdd_0133,,X300,HDD,8000GB
,500,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate ST500LM021 500GB 2.5"" HDD 7200RPM SATA Internal",2403dac2-f608-40f9-8faf-b07c7c827a16,hdd_0134,,ST500LM021,HDD,500GB
,160,hdd,"3.5""",SATA 3.0 Gb/s,,Seagate,"Seagate Barracuda 7200.10 160GB 3.5"" HDD 7200RPM SATA",244c19d8-a430-470e-aa3e-060d8ba18ef2,hdd_0135,,Barracuda,HDD,160GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate SkyHawk AI 10TB 3.5"" HDD 7200RPM SATA",248add02-8d90-42c6-b40e-c712922803f3,hdd_0136,,SkyHawk,HDD,10000GB
,1000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar 1TB 7200RPM HDD 3.5"" SATA",252e0a1d-bd20-4677-98a3-90f2bb51ff9b,hdd_0137,,Ultrastar,HDD,1000GB
,160,hdd,"3.5""",SATA 3.0 Gb/s,,Samsung,"Samsung Spinpoint F3 160GB 3.5"" HDD SATA",25892677-f6c2-41f1-81a2-f5867846405c,hdd_0138,,Spinpoint,HDD,160GB
,24000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos X24 SED 24TB HDD 3.5"" SATA",25964957-acdc-4150-98a4-ffbd4cc4380b,hdd_0139,,Exos,HDD,24000GB
,150,hdd,"3.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital VelociRaptor 150GB HDD 3.5"" SATA",25dcf94e-9180-48f4-8c9e-3eb54c3cd025,hdd_0140,,VelociRaptor,HDD,150GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba X300 Pro 12TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",25f8746b-7df2-4b77-a596-9090a1eaef3b,hdd_0141,,X300,HDD,12000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Plus 6TB HDD 5400RPM 3.5"" SATA 6.0 Gb/s",279ce5c4-4215-42b3-9429-ebc0b6898025,hdd_0142,,Red,HDD,6000GB
,250,hdd,"3.5""",SATA 3.0 Gb/s,,Samsung,"Samsung ST250DM001/HD253GJ 250GB HDD 3.5"" 7200RPM SATA",27da7495-3fbc-4005-8793-0144b43afe85,hdd_0143,,ST250DM001/HD253GJ,HDD,250GB
,1000,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate ST1000NX0313 1TB 2.5"" HDD 7200RPM SATA",2814448f-7a6e-4202-a845-548ec4b730ec,hdd_0144,,ST1000NX0313,HDD,1000GB
,320,hdd,"2.5""",SATA 3.0 Gb/s,,Toshiba,"Toshiba MQ01ABD032 320GB HDD 5400RPM 2.5"" SATA 3.0 Gb/s",283871aa-3aa6-4bb0-9a05-7c97a87ba662,hdd_0145,,MQ01ABD032,HDD,320GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Deskstar 5K3000 3TB HDD 5400RPM 3.5"" SATA 6.0 Gb/s",28fe0ef2-60a6-476e-adda-037ba05cb4c3,hdd_0146,,Deskstar,HDD,3000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital SE 4TB HDD 3.5"" 7200RPM SATA",29041e01-b126-496d-92b3-ac06b27d4e2e,hdd_0147,,SE,HDD,4000GB
,1000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate SkyHawk 1TB HDD 3.5"" 5900RPM SATA",293a6e98-1ce7-4089-aaa9-791e12ee44be,hdd_0148,,SkyHawk,HDD,1000GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Blue 3 TB HDD 3.5"" 5400 RPM SATA",293c77aa-4578-41c3-a5e0-8b5db5c89859,hdd_0149,,Blue,HDD,3000GB
,16000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Gold 16TB 3.5"" HDD 7200RPM SATA",2999322d-7351-4b50-a71f-08f20884dca6,hdd_0150,,Gold,HDD,16000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Purple 2TB HDD 3.5"" 5400RPM SATA Internal",29b4ce1a-c1f9-422d-a616-8c244f5ed61d,hdd_0151,,Purple,HDD,2000GB
,250,hdd,"3.5""",SATA 3.0 Gb/s,,Seagate,"Seagate Barracuda ES.2 250GB HDD 3.5"" SATA",29dbb642-793c-4261-936b-faa475b48ffd,hdd_0152,,Barracuda,HDD,250GB
,20000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf Pro 20TB HDD 3.5"" SATA",29e51efa-6daa-4cdc-afe5-edd50b6fc387,hdd_0153,,IronWolf,HDD,20000GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate SkyHawk Surveillance 12TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s Internal",2a176930-57dc-4bea-ae7f-1491917a55fa,hdd_0154,,SkyHawk,HDD,12000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba N300 14TB 3.5"" HDD 7200RPM SATA Internal",2a5919b8-91ab-4599-914b-5e4ae0951b3b,hdd_0155,,N300,HDD,14000GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red 10TB 3.5"" HDD 5400RPM SATA",2a907dd2-ce9a-4152-8631-ad1a37739641,hdd_0156,,Red,HDD,10000GB
,250,hdd,"2.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MQ01ABD025V 250GB HDD 2.5"" SATA",2add12ed-d3a1-4a41-9875-8df3e003e0f2,hdd_0157,,MQ01ABD025V,HDD,250GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Pro 14TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",2aeb47a8-d8f9-4745-88b4-6f5e49a5aecc,hdd_0158,,Red,HDD,14000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Pro 2TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",2afcf92f-e916-40ef-972b-beae5778a7ca,hdd_0159,,Red,HDD,2000GB
,500,hdd,"2.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Scorpio Black 500GB HDD 7200RPM 2.5"" SATA 3.0 Gb/s",2b0a9dda-42ae-4170-98e6-49c23a2270ec,hdd_0160,,Scorpio,HDD,500GB
,16000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos X18 16 TB HDD 3.5"" 7200 RPM SATA 6.0 Gb/s",2b16a789-1147-4daa-bc3d-9c303a686fbf,hdd_0161,,Exos,HDD,16000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Enterprise Capacity 6TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",2b31ab50-6381-4772-9be3-f5f339297faf,hdd_0162,,Enterprise,HDD,6000GB
,1000,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda Pro Compute 1TB HDD 2.5"" SATA",2c11dfee-f1c2-482b-aace-5f30bb339a9d,hdd_0163,,BarraCuda,HDD,1000GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital WD_BLACK 10TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",2cb1bb5c-da3b-4df9-8283-3bb5f1cce84a,hdd_0164,,WD_BLACK,HDD,10000GB
,6000,hdd,"3.5""",SAS 12.0 Gb/s,,Hitachi,"Hitachi Ultrastar 6TB HDD 3.5"" 7200RPM SAS 12.0 Gb/s",2ce5727e-4664-4615-8371-fdff3cd978ce,hdd_0165,,Ultrastar,HDD,6000GB
,1000,hdd,"2.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Black 1TB HDD 2.5"" 7200RPM SATA Internal",2cfe4be9-7fb2-46b0-b6aa-02dfc5e28536,hdd_0166,,Black,HDD,1000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Gold 14 TB HDD 3.5"" 7200 RPM SATA 6.0 Gb/s Internal",2d289f16-ed5c-4fad-bcee-693901b1c442,hdd_0167,,Gold,HDD,14000GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate SkyHawk AI 12TB HDD 3.5"" SATA",2d379b79-17e2-49e1-afe9-5df61480e436,hdd_0168,,SkyHawk,HDD,12000GB
,36000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos M 36TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",2d4b9481-c324-4166-85b7-4e1420e766bc,hdd_0169,,Exos,HDD,36000GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar He10 10TB HDD 3.5"" 7200RPM SATA",2dcc21ac-36ae-492f-a9fe-8c363fde1df8,hdd_0170,,Ultrastar,HDD,10000GB
,500,hdd,"3.5""",SATA 6.0 Gb/s,,Axiom,"Axiom 0A89470-AX 500GB HDD 3.5"" 7200RPM SATA",2dd343f1-afce-47ca-8855-5f10f3755670,hdd_0171,,0A89470-AX,HDD,500GB
,20000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG10 512e 20TB HDD 7200RPM 3.5"" SATA",2dd9fde0-c33b-4877-bfad-17960bc6e1f1,hdd_0172,,MG10,HDD,20000GB
,500,hdd,"3.5""",SATA 3.0 Gb/s,,Seagate,"Seagate SV35.5 500GB HDD 3.5"" 5900RPM SATA",2e19eb81-5e25-44c0-8a0a-e7d7dfdf873d,hdd_0173,,SV35.5,HDD,500GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 3TB HDD 3.5"" SATA",2e2d97a7-79b4-4199-9dfe-aa9433b95931,hdd_0174,,BarraCuda,HDD,3000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Black 8TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s",2eba0d43-ccb9-47ca-b0ff-e57c6b3ffed5,hdd_0175,,Black,HDD,8000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Caviar Black 2TB HDD 3.5"" 7200RPM SATA",2ec78461-eca8-460e-a2b4-3ffc2500d1ea,hdd_0176,,Caviar,HDD,2000GB
64,3000,hdd,"3.5""",SAS 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar 7K4000 3 TB 3.5"" HDD 7200RPM SAS 6.0 Gb/s",2ee52dca-7ccb-4b1d-bf20-cb8f31193edc,hdd_0177,,Ultrastar,HDD,3000GB
,5000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Archive v2 5TB HDD 3.5"" 5900RPM SATA 6.0 Gb/s Internal",2f718820-fe57-4cb9-be4e-8f5ac02cd0ee,hdd_0178,,Archive,HDD,5000GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Blue 3TB HDD 5400RPM 3.5"" SATA",2f777de2-688f-40d2-937f-4f04adfa33b8,hdd_0179,,Blue,HDD,3000GB
,1000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Blue 1TB 3.5"" HDD 5400RPM SATA",2f8b66bb-7e9e-4dce-92ef-c3bfdb902397,hdd_0180,,Blue,HDD,1000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Surveillance 2TB 3.5"" HDD 5400RPM SATA",2fbee15b-166b-447c-89e7-a3e0136c4d8e,hdd_0181,,Surveillance,HDD,2000GB
,24000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Gold 24 TB 3.5"" 7200 RPM Internal",2fe25755-57c7-42c9-9668-e67707cc8045,hdd_0182,,Gold,HDD,24000GB
,500,hdd,"3.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi Deskstar 5K1000 500GB HDD 5400RPM 3.5"" SATA 3.0 Gb/s Internal",2fe85106-e493-44fa-b218-607f7dd78d40,hdd_0183,,Deskstar,HDD,500GB
,1000,hdd,"3.5""",SAS 12.0 Gb/s,,Seagate,"Seagate Enterprise Performance 1.8TB HDD 10000RPM 3.5"" SAS 12.0 Gb/s",30643fa7-c78b-4e3f-8ba9-806ff2fd7cae,hdd_0184,,Enterprise,HDD,1000GB
,500,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Caviar Black 500GB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",309884e1-b12f-4233-b0a9-8b0f01a0b2f6,hdd_0185,,Caviar,HDD,500GB
,1000,hdd,"3.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi 7K1000.C 1TB 3.5"" HDD 7200RPM SATA",3098d24b-17d4-4193-ac8e-985d1121a7dc,hdd_0186,,7K1000.C,HDD,1000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos 7E10 6TB 3.5"" HDD SATA 7200RPM 512e/4Kn",30a3469a-e55e-43f0-8d4b-29f1338b4359,hdd_0187,,Exos,HDD,6000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Constellation ES 2TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",30b793b5-346d-417a-a5de-75a2a6467c17,hdd_0188,,Constellation,HDD,2000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Black 6TB HDD 3.5"" SATA 7200RPM",30e083a4-060f-4059-b5ef-f4836724cde7,hdd_0189,,Black,HDD,6000GB
,640,hdd,"2.5""",SATA 3.0 Gb/s,,Toshiba,"Toshiba MK6465GSX 640GB 2.5"" HDD 5400RPM SATA Internal",30e1dc18-1b4e-4cae-9a5a-1962242acb93,hdd_0190,,MK6465GSX,HDD,640GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Surveillance 4TB HDD 3.5"" SATA",31158617-2790-47cf-a43f-c4b860a93318,hdd_0191,,Surveillance,HDD,4000GB
,16000,hdd,"3.5""",SAS 12.0 Gb/s,,Seagate,"Seagate EXOS Enterprise 16 TB 3.5"" HDD 7200 RPM SAS 12.0 Gb/s",31298ba5-e794-4d86-88b6-3c5a033d25f7,hdd_0192,,EXOS,HDD,16000GB
,500,hdd,"2.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi Travelstar Z5K500 500GB Internal HDD 5400RPM 2.5"" SATA 3.0 Gb/s",317519ba-8540-4f5e-9dfc-7f356dc58b15,hdd_0193,,Travelstar,HDD,500GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba X300 4TB HDD 3.5"" SATA",31904134-daf9-4ce0-91f0-908a54c818b4,hdd_0194,,X300,HDD,4000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Enterprise Capacity 8TB 3.5"" HDD 7200RPM SATA",32b52408-d02d-42d9-a9bb-d703c88c646a,hdd_0195,,Enterprise,HDD,8000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba N300 6TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s Internal",32ed9152-7d36-49d6-ab71-0f284bef96e8,hdd_0196,,N300,HDD,6000GB
,1000,hdd,"3.5""",SATA 3.0 Gb/s,,Samsung,"Samsung Spinpoint F1 DT 1TB HDD 7200RPM 3.5"" SATA",3343249e-95b6-4a38-8fa8-3f41d719e462,hdd_0197,,Spinpoint,HDD,1000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG07ACA14TE 14TB HDD 3.5"" 7200RPM SATA",3348da24-ffce-47c8-b8b1-0138430dfe8e,hdd_0198,,MG07ACA14TE,HDD,14000GB
,320,hdd,"2.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Scorpio Blue 320GB 2.5"" HDD 5400RPM SATA",33dbc0f1-1c52-4eb7-89ed-60bad7335cbb,hdd_0199,,Scorpio,HDD,320GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar He8 6TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",340fe1b2-f260-46af-8980-d51ebbd3e4be,hdd_0200,,Ultrastar,HDD,6000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos 7E8 4Kn 6TB HDD 7200RPM 3.5"" SATA",341dc535-5e11-49b4-b3f5-435f83339639,hdd_0201,,Exos,HDD,6000GB
256,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate SkyHawk Surveillance 10TB 3.5"" HDD 7200RPM SATA",349fbece-6a45-4597-b45b-5e4470f216b6,hdd_0202,,SkyHawk,HDD,10000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Pro 8 TB 3.5"" Internal HDD 7200 RPM SATA 6.0 Gb/s",359ed54b-cf00-4f07-b0e7-a068c0b33fa7,hdd_0203,,Red,HDD,8000GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf NAS 10TB HDD 3.5"" 7200RPM SATA",35b97ce1-7260-49f4-84ca-f0d5b865ed7f,hdd_0204,,IronWolf,HDD,10000GB
,500,hdd,"3.5""",SATA 3.0 Gb/s,,Samsung,"Samsung Spinpoint F2 EG 500GB HDD 3.5"" SATA",35dc6e12-0f79-4bc9-9316-5cdffc349e5c,hdd_0205,,Spinpoint,HDD,500GB
,1000,hdd,"3.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi 7K1000.C 1TB HDD 7200RPM 3.5"" SATA",36066cd0-ec86-45ff-b7f0-c29ee7156fc9,hdd_0206,,7K1000.C,HDD,1000GB
,1000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG04ACA100N 1TB HDD 3.5"" 7200 RPM Internal",36334163-e16b-4dd3-af5f-3613f3e5d12e,hdd_0207,,MG04ACA100N,HDD,1000GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,Seagate IronWolf 12TB NAS Internal Hard Drive HDD – CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage,3660fbd1-4808-46a6-a18b-2c0a69d02132,hdd_0208,2020,IronWolf,HDD,
,1000,hdd,"3.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi Deskstar 1 TB HDD 3.5"" 7200RPM SATA 3.0 Gb/s",36bb876f-a0a6-4ec9-a93c-778c2f150b91,hdd_0209,,Deskstar,HDD,1000GB
,80,hdd,"2.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Scorpio Blue 80 GB 2.5"" HDD 5400RPM SATA 3.0 Gb/s Internal",37a0949a-c270-4def-8d68-0d56133d15ac,hdd_0210,,Scorpio,HDD,80GB
,500,hdd,"3.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Caviar Green 500GB HDD 3.5"" SATA",37ee2391-6722-4dc0-bf8d-e7a3af23ba88,hdd_0211,,Caviar,HDD,500GB
,2000,hdd,"3.5""",SATA 3.0 Gb/s,,Samsung,"Samsung Spinpoint F4 2TB HDD 5400RPM Internal 3.5""",38108c57-ac95-4486-ade4-ed93ee1ec312,hdd_0212,,Spinpoint,HDD,2000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf Pro 4TB 3.5"" HDD 7200RPM SATA",38170590-410c-4dd5-bbae-f32834df1a47,hdd_0213,,IronWolf,HDD,4000GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate SkyHawk AI 12TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",382c291c-dff4-4280-91f8-c33cefa2b5ff,hdd_0214,,SkyHawk,HDD,12000GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos X18 10TB HDD 7200RPM 3.5"" SATA",3836d11c-c0e0-426f-a4bd-8c328bf2ba82,hdd_0215,,Exos,HDD,10000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Caviar Black 4TB Internal HDD 7200RPM 3.5"" SATA 6.0 Gb/s",3882f6fe-c00f-43c9-8498-35f06e37998c,hdd_0216,,Caviar,HDD,4000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar 4TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s Internal",38d89b3a-6570-4a18-9ffa-64b4674561e3,hdd_0217,,Ultrastar,HDD,4000GB
,500,hdd,"2.5""",SATA 3.0 Gb/s,,Toshiba,"Toshiba MQ01ABD050 500GB HDD 2.5"" 5400RPM SATA",38dddb52-f9ca-42d0-8227-b9845def31db,hdd_0218,,MQ01ABD050,HDD,500GB
,160,hdd,"2.5""",SATA 3.0 Gb/s,,Seagate,"Seagate Momentus 7200.4 160 GB HDD 7200 RPM 2.5"" SATA 3.0 Gb/s",38ebcb71-41cf-49f8-be35-2e7bf205c0c0,hdd_0219,,Momentus,HDD,160GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Purple 12TB 3.5"" HDD 7200RPM SATA",38ef2538-9ce8-4172-9b81-fdc4686d19ad,hdd_0220,,Purple,HDD,12000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Pro 14TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",395394ac-a37f-4237-aa71-3e8c93161910,hdd_0221,,Red,HDD,14000GB
128,4000,hdd,"3.5""",SAS 6.0 Gb/s,,Seagate,"Seagate Constellation ES.3 4TB 3.5"" HDD 7200RPM SAS 6.0 Gb/s",395ca3ff-0181-49e0-9033-0fc7cd36b316,hdd_0222,,Constellation,HDD,4000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf NAS 8TB 3.5"" HDD 7200RPM SATA",39d3ac5f-45de-4275-90df-9ad475742ff1,hdd_0223,,IronWolf,HDD,8000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Gold 2TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s Internal",3a05afd9-c7d3-4982-bd17-b91406de5f4b,hdd_0224,,Gold,HDD,2000GB
